SequenceID	ClusterID
seq_238	84
seq_458	103
seq_282	94
seq_143	56
seq_2138	77
seq_1402	239
seq_105	38
seq_13	3
seq_1205	41
seq_207	77
seq_63	23
seq_2507	295
seq_442	97
seq_1228	223
seq_22	6
seq_98	36
seq_5367	509
seq_118	46
seq_125	50
seq_2363	140
seq_2333	209
seq_891	20
seq_4078	393
seq_1125	182
seq_5314	496
seq_5365	495
seq_1531	56
seq_296	100
seq_5313	495
seq_421	123
seq_5175	460
seq_1986	281
seq_102	37
seq_113	44
seq_5098	434
seq_2581	224
seq_1057	10
seq_981	202
seq_1054	6
seq_5358	507
seq_5352	476
seq_32	7
seq_3809	380
seq_3987	388
seq_1487	1
seq_6007	440
seq_227	81
seq_5118	446
seq_7294	688
seq_1115	94
seq_6195	446
seq_5085	424
seq_948	165
seq_108	41
seq_630	56
seq_166	43
seq_1158	38
seq_522	143
seq_3421	269
seq_900	150
seq_152	60
seq_1495	247
seq_5130	450
seq_153	61
seq_5247	481
seq_181	44
seq_2686	3
seq_961	200
seq_5088	427
seq_81	30
seq_2521	43
seq_880	72
seq_427	30
seq_1645	260
seq_94	35
seq_6546	474
seq_5444	495
seq_8456	764
seq_4470	415
seq_6248	433
seq_55	19
seq_7044	692
seq_2032	41
seq_6005	605
seq_6785	433
seq_5551	514
seq_3909	385
seq_35	8
seq_5207	471
seq_646	140
seq_151	59
seq_5180	462
seq_2392	103
seq_5425	515
seq_3346	353
seq_1921	241
seq_1544	251
seq_1844	110
seq_425	125
seq_197	72
seq_6253	496
seq_5391	452
seq_389	104
seq_449	132
seq_1822	273
seq_252	90
seq_1743	172
seq_5366	508
seq_5179	461
seq_244	85
seq_2403	302
seq_867	183
seq_6844	657
seq_245	86
seq_3531	366
seq_196	71
seq_608	66
seq_2102	53
seq_2540	275
seq_2617	43
seq_1169	182
seq_2386	3
seq_8707	778
seq_911	192
seq_5757	514
seq_1952	279
seq_413	42
seq_3822	110
seq_6122	577
seq_3605	66
seq_1840	18
seq_5353	453
seq_5280	488
seq_967	76
seq_5608	545
seq_8	1
seq_43	11
seq_5945	496
seq_7708	632
seq_5995	574
seq_49	15
seq_489	72
seq_1314	231
seq_820	0
seq_376	115
seq_927	193
seq_1838	274
seq_1340	232
seq_210	51
seq_1714	264
seq_692	163
seq_1702	263
seq_170	66
seq_620	151
seq_5471	427
seq_444	131
seq_72	27
seq_5107	439
seq_437	129
seq_1387	37
seq_5978	601
seq_65	25
seq_52	17
seq_1134	218
seq_6745	481
seq_7076	522
seq_5093	431
seq_293	98
seq_5609	546
seq_2157	287
seq_1160	219
seq_5516	528
seq_5936	369
seq_357	111
seq_637	154
seq_404	120
seq_412	121
seq_316	105
seq_3506	202
seq_5335	501
seq_455	133
seq_93	34
seq_194	70
seq_163	65
seq_3146	215
seq_64	24
seq_3130	184
seq_6169	625
seq_5135	25
seq_110	43
seq_5971	600
seq_1502	248
seq_978	50
seq_2644	317
seq_5520	529
seq_592	149
seq_8467	767
seq_275	25
seq_291	97
seq_3292	231
seq_6082	616
seq_572	11
seq_2433	303
seq_5412	450
seq_5708	563
seq_199	74
seq_872	186
seq_5104	438
seq_3538	367
seq_5129	433
seq_4435	413
seq_3623	145
seq_655	156
seq_117	45
seq_136	52
seq_1828	217
seq_297	101
seq_654	155
seq_358	112
seq_2550	309
seq_1375	235
seq_2929	339
seq_3496	364
seq_7038	590
seq_5423	514
seq_18	4
seq_1076	32
seq_3148	347
seq_3444	357
seq_1756	267
seq_6684	666
seq_7221	709
seq_1027	205
seq_632	11
seq_5549	533
seq_2851	330
seq_6982	589
seq_2867	289
seq_2473	305
seq_51	16
seq_3296	351
seq_6434	648
seq_5124	448
seq_3466	361
seq_5296	492
seq_2305	295
seq_5404	513
seq_7502	601
seq_7504	692
seq_3733	12
seq_5341	502
seq_40	10
seq_3629	371
seq_3069	213
seq_2591	312
seq_224	22
seq_400	2
seq_685	160
seq_725	168
seq_8477	769
seq_2326	59
seq_4096	395
seq_59	22
seq_2564	310
seq_743	88
seq_6285	598
seq_5469	522
seq_188	68
seq_91	33
seq_7849	729
seq_574	67
seq_724	47
seq_7561	722
seq_8286	751
seq_6074	613
seq_132	51
seq_4269	408
seq_3158	348
seq_8162	746
seq_6469	514
seq_761	170
seq_1026	204
seq_109	42
seq_7997	737
seq_4118	392
seq_5636	552
seq_952	40
seq_6039	608
seq_295	99
seq_1836	163
seq_2546	182
seq_84	31
seq_57	21
seq_1442	243
seq_5117	445
seq_259	35
seq_541	145
seq_783	175
seq_1087	213
seq_760	23
seq_370	113
seq_5205	470
seq_7890	733
seq_4569	394
seq_397	119
seq_8309	754
seq_1732	264
seq_3970	16
seq_1820	272
seq_2371	43
seq_377	116
seq_879	29
seq_5847	582
seq_2238	289
seq_1868	133
seq_744	54
seq_2335	38
seq_1448	209
seq_6283	635
seq_1771	268
seq_1427	242
seq_5109	440
seq_8171	453
seq_1411	240
seq_5485	525
seq_1389	237
seq_2242	158
seq_6393	645
seq_518	142
seq_2873	333
seq_2846	329
seq_3792	15
seq_3859	383
seq_11	2
seq_220	79
seq_246	87
seq_121	49
seq_699	148
seq_2301	294
seq_6598	657
seq_6387	643
seq_6635	508
seq_7649	695
seq_860	182
seq_6630	660
seq_8157	745
