SequenceID	ClusterID
seq_1	0
seq_10	4
seq_100	42
seq_1000	761
seq_10000	4449
seq_10001	3528
seq_10002	1723
seq_10003	1724
seq_10004	4732
seq_10005	4451
seq_10006	2458
seq_10007	4828
seq_10008	4829
seq_10009	1112
seq_1001	762
seq_10010	4830
seq_10011	2612
seq_10012	4831
seq_10013	4046
seq_10014	3529
seq_10015	4463
seq_10016	2473
seq_10017	322
seq_10018	1268
seq_10019	4468
seq_1002	763
seq_10020	4709
seq_10021	4476
seq_10022	2485
seq_10023	1270
seq_10024	4074
seq_10025	4732
seq_10026	1964
seq_10027	4832
seq_10028	944
seq_10029	4047
seq_1003	764
seq_10030	1055
seq_10031	2113
seq_10032	1057
seq_10033	1058
seq_10034	4833
seq_10035	464
seq_10036	4834
seq_10037	4835
seq_10038	4485
seq_10039	501
seq_1004	765
seq_10040	4836
seq_10041	4837
seq_10042	886
seq_10043	2756
seq_10044	323
seq_10045	197
seq_10046	4838
seq_10047	1726
seq_10048	2237
seq_10049	4790
seq_1005	766
seq_10050	4839
seq_10051	4503
seq_10052	4793
seq_10053	1073
seq_10054	4840
seq_10055	337
seq_10056	4513
seq_10057	4841
seq_10058	4842
seq_10059	2501
seq_1006	767
seq_10060	4517
seq_10061	2504
seq_10062	1868
seq_10063	412
seq_10064	4843
seq_10065	2830
seq_10066	707
seq_10067	1064
seq_10068	2011
seq_10069	2834
seq_1007	41
seq_10070	4844
seq_10071	2511
seq_10072	4845
seq_10073	2517
seq_10074	4521
seq_10075	2115
seq_10076	2519
seq_10077	4518
seq_10078	133
seq_10079	4846
seq_1008	41
seq_10080	4524
seq_10081	4847
seq_10082	4844
seq_10083	2522
seq_10084	2526
seq_10085	3538
seq_10086	2510
seq_10087	598
seq_10088	4538
seq_10089	4848
seq_1009	768
seq_10090	1244
seq_10091	4546
seq_10092	4849
seq_10093	1223
seq_10094	4551
seq_10095	4552
seq_10096	4560
seq_10097	1074
seq_10098	135
seq_10099	89
seq_101	65
seq_1010	769
seq_10100	4850
seq_10101	2534
seq_10102	4851
seq_10103	2512
seq_10104	1065
seq_10105	1074
seq_10106	4852
seq_10107	4853
seq_10108	4428
seq_10109	4052
seq_1011	18
seq_10110	4854
seq_10111	2116
seq_10112	1274
seq_10113	4855
seq_10114	4856
seq_10115	2117
seq_10116	4857
seq_10117	2542
seq_10118	1080
seq_10119	2847
seq_1012	770
seq_10120	2980
seq_10121	4521
seq_10122	4858
seq_10123	1640
seq_10124	2553
seq_10125	4859
seq_10126	168
seq_10127	168
seq_10128	4860
seq_10129	1066
seq_1013	42
seq_10130	1641
seq_10131	48
seq_10132	48
seq_10133	2565
seq_10134	4525
seq_10135	4593
seq_10136	4526
seq_10137	49
seq_10138	1472
seq_10139	72
seq_1014	771
seq_10140	4861
seq_10141	2837
seq_10142	4862
seq_10143	4602
seq_10144	2921
seq_10145	4863
seq_10146	2585
seq_10147	3289
seq_10148	1263
seq_10149	4864
seq_1015	772
seq_10150	162
seq_10151	4865
seq_10152	162
seq_10153	2589
seq_10154	4866
seq_10155	3321
seq_10156	4867
seq_10157	4613
seq_10158	4429
seq_10159	3543
seq_1016	773
seq_10160	2431
seq_10161	4868
seq_10162	4615
seq_10163	4869
seq_10164	1734
seq_10165	2104
seq_10166	3452
seq_10167	4056
seq_10168	2118
seq_10169	1735
seq_1017	774
seq_10170	2609
seq_10171	3488
seq_10172	4870
seq_10173	415
seq_10174	4532
seq_10175	4627
seq_10176	235
seq_10177	1697
seq_10178	1736
seq_10179	437
seq_1018	775
seq_10180	4630
seq_10181	4534
seq_10182	4631
seq_10183	2526
seq_10184	2526
seq_10185	1727
seq_10186	4057
seq_10187	4057
seq_10188	3540
seq_10189	4058
seq_1019	776
seq_10190	1076
seq_10191	3551
seq_10192	1758
seq_10193	4738
seq_10194	4871
seq_10195	4872
seq_10196	4873
seq_10197	4874
seq_10198	4875
seq_10199	4652
seq_102	66
seq_1020	777
seq_10200	2925
seq_10201	1737
seq_10202	4876
seq_10203	860
seq_10204	2926
seq_10205	3664
seq_10206	3674
seq_10207	1239
seq_10208	199
seq_10209	4877
seq_1021	51
seq_10210	892
seq_10211	108
seq_10212	4538
seq_10213	1849
seq_10214	4667
seq_10215	771
seq_10216	4878
seq_10217	3710
seq_10218	134
seq_10219	4879
seq_1022	778
seq_10220	1127
seq_10221	4541
seq_10222	4543
seq_10223	1738
seq_10224	54
seq_10225	788
seq_10226	893
seq_10227	270
seq_10228	1129
seq_10229	55
seq_1023	779
seq_10230	1114
seq_10231	4880
seq_10232	2120
seq_10233	3547
seq_10234	1286
seq_10235	2121
seq_10236	4881
seq_10237	4882
seq_10238	4685
seq_10239	4570
seq_1024	780
seq_10240	4689
seq_10241	1928
seq_10242	1930
seq_10243	2661
seq_10244	2662
seq_10245	1646
seq_10246	1647
seq_10247	1740
seq_10248	4695
seq_10249	4883
seq_1025	781
seq_10250	4884
seq_10251	4885
seq_10252	1133
seq_10253	2122
seq_10254	2666
seq_10255	4886
seq_10256	1278
seq_10257	4704
seq_10258	851
seq_10259	296
seq_1026	702
seq_10260	381
seq_10261	2679
seq_10262	3908
seq_10263	4887
seq_10264	4550
seq_10265	4888
seq_10266	4551
seq_10267	4552
seq_10268	1871
seq_10269	3549
seq_1027	25
seq_10270	2125
seq_10271	4
seq_10272	2690
seq_10273	2035
seq_10274	4889
seq_10275	2528
seq_10276	4890
seq_10277	3870
seq_10278	4891
seq_10279	4892
seq_1028	782
seq_10280	4893
seq_10281	290
seq_10282	3551
seq_10283	4894
seq_10284	3552
seq_10285	895
seq_10286	4895
seq_10287	2058
seq_10288	4723
seq_10289	1149
seq_1029	783
seq_10290	2076
seq_10291	4896
seq_10292	4290
seq_10293	2088
seq_10294	3579
seq_10295	4064
seq_10296	2711
seq_10297	2126
seq_10298	2945
seq_10299	4897
seq_103	67
seq_1030	784
seq_10300	4734
seq_10301	4056
seq_10302	4737
seq_10303	1032
seq_10304	4740
seq_10305	896
seq_10306	3553
seq_10307	4898
seq_10308	3554
seq_10309	4
seq_1031	785
seq_10310	4743
seq_10311	4
seq_10312	4
seq_10313	333
seq_10314	2712
seq_10315	1761
seq_10316	4089
seq_10317	4746
seq_10318	57
seq_10319	3581
seq_1032	786
seq_10320	4899
seq_10321	3555
seq_10322	3557
seq_10323	4754
seq_10324	4066
seq_10325	4900
seq_10326	3559
seq_10327	1168
seq_10328	4901
seq_10329	4902
seq_1033	724
seq_10330	187
seq_10331	2732
seq_10332	2938
seq_10333	3104
seq_10334	2898
seq_10335	3561
seq_10336	3562
seq_10337	4085
seq_10338	4559
seq_10339	4771
seq_1034	787
seq_10340	1071
seq_10341	4068
seq_10342	660
seq_10343	4903
seq_10344	4904
seq_10345	367
seq_10346	4069
seq_10347	970
seq_10348	2305
seq_10349	4785
seq_1035	788
seq_10350	2307
seq_10351	4905
seq_10352	2778
seq_10353	157
seq_10354	7
seq_10355	245
seq_10356	1136
seq_10357	4294
seq_10358	4906
seq_10359	2128
seq_1036	789
seq_10360	1190
seq_10361	990
seq_10362	4196
seq_10363	4907
seq_10364	901
seq_10365	4742
seq_10366	4307
seq_10367	4908
seq_10368	1749
seq_10369	3750
seq_1037	790
seq_10370	4073
