SequenceID	ClusterID
seq_1000	170
seq_10011	632
seq_1002	171
seq_10023	633
seq_10034	564
seq_10036	634
seq_10052	635
seq_1006	172
seq_10084	324
seq_1009	173
seq_10090	636
seq_1010	174
seq_1012	175
seq_10146	637
seq_10149	638
seq_1015	13
seq_10152	639
seq_10154	640
seq_10172	641
seq_1021	176
seq_10268	119
seq_10270	642
seq_10308	438
seq_104	14
seq_1042	177
seq_10440	643
seq_10443	638
seq_10464	644
seq_10485	558
seq_10487	645
seq_10545	646
seq_10575	647
seq_10598	648
seq_10621	649
seq_1063	89
seq_10642	650
seq_1065	138
seq_1068	178
seq_1073	179
seq_10775	651
seq_10784	652
seq_10786	653
seq_10819	90
seq_10845	6
seq_10879	654
seq_1088	180
seq_10907	422
seq_10922	655
seq_10924	656
seq_11000	21
seq_1120	181
seq_1124	182
seq_11258	657
seq_1127	183
seq_11289	303
seq_1129	184
seq_113	15
seq_1133	185
seq_11370	658
seq_1139	186
seq_114	16
seq_1143	187
seq_1145	188
seq_11543	659
seq_116	17
seq_11604	237
seq_11633	328
seq_11666	562
seq_1168	189
seq_1169	55
seq_1170	37
seq_1174	20
seq_1177	39
seq_11820	660
seq_11852	661
seq_11858	662
seq_1187	0
seq_119	18
seq_1191	190
seq_1192	191
seq_120	19
seq_1200	192
seq_1205	193
seq_1207	194
seq_121	20
seq_1212	195
seq_1217	189
seq_1219	75
seq_12266	663
seq_1228	196
seq_1230	197
seq_1237	198
seq_1241	199
seq_125	21
seq_1251	157
seq_12520	449
seq_1265	197
seq_1266	200
seq_1277	182
seq_128	22
seq_12823	664
seq_1283	201
seq_1285	202
seq_1287	203
seq_1289	73
seq_12932	196
seq_12933	665
seq_12935	666
seq_12936	318
seq_12937	539
seq_12938	667
seq_12939	668
seq_12940	669
seq_12941	670
seq_12943	671
seq_12944	672
seq_12945	673
seq_12946	674
seq_12947	675
seq_12949	665
seq_12950	676
seq_12951	677
seq_12953	678
seq_12954	679
seq_12955	680
seq_12957	543
seq_12958	681
seq_12959	674
seq_1296	204
seq_12960	682
seq_12961	683
seq_12962	684
seq_12963	685
seq_12964	675
seq_12965	686
seq_12966	666
seq_12968	687
seq_12969	688
seq_12970	689
seq_12971	690
seq_12972	691
seq_12973	686
seq_12974	692
seq_12975	693
seq_12976	694
seq_12977	695
seq_12978	696
seq_12979	697
seq_12981	698
seq_12982	699
seq_12983	700
seq_12984	701
seq_12986	702
seq_12987	703
seq_12988	704
seq_12989	705
seq_12990	706
seq_12991	707
seq_12992	708
seq_12993	709
seq_12994	710
seq_12995	711
seq_12996	712
seq_12997	713
seq_12999	714
seq_13000	715
seq_13001	716
seq_13002	717
seq_13003	718
seq_13004	719
seq_13005	720
seq_13006	721
seq_13007	722
seq_13008	723
seq_13009	724
seq_13010	725
seq_13011	695
seq_13012	668
seq_13013	726
seq_13014	727
seq_13015	728
seq_13016	729
seq_13018	730
seq_13019	731
seq_13020	732
seq_13021	733
seq_13022	734
seq_13023	735
seq_13024	736
seq_13026	715
seq_13027	737
seq_13028	738
seq_13029	477
seq_13030	739
seq_13031	740
seq_13032	741
seq_13034	742
seq_13035	743
seq_13036	744
seq_13037	745
seq_13038	717
seq_13040	746
seq_13041	674
seq_13042	747
seq_13043	748
seq_13044	692
seq_13045	721
seq_13046	749
