SequenceID	Annotation	Length	BlastEvalue
seq_5	U2-L1076	25	8.23e-09
seq_5	U2-L1072	25	8.23e-09
seq_5	U2-L1020	25	8.23e-09
seq_5	U2-L1019	25	8.23e-09
seq_5	U2-L974	25	8.23e-09
seq_5	U2-L973	25	8.23e-09
seq_5	U2-L969	25	8.23e-09
seq_5	U2-L951	25	8.23e-09
seq_5	U2-L938	25	8.23e-09
seq_5	U2-L933	25	8.23e-09
seq_5	U2-L925	25	8.23e-09
seq_5	U2-L903	25	8.23e-09
seq_5	U2-L892	25	8.23e-09
seq_5	U2-L876	25	8.23e-09
seq_5	U2-L875	25	8.23e-09
seq_5	U2-L865	25	8.23e-09
seq_5	U2-L864	25	8.23e-09
seq_5	U2-L863	25	8.23e-09
seq_5	U2-L862	25	8.23e-09
seq_5	U2-L861	25	8.23e-09
seq_5	U2-L860	25	8.23e-09
seq_5	U2-L859	25	8.23e-09
seq_5	U2-L858	25	8.23e-09
seq_5	U2-L857	25	8.23e-09
seq_5	U2-L856	25	8.23e-09
seq_5	U2-L855	25	8.23e-09
seq_5	U2-L854	25	8.23e-09
seq_5	U2-L853	25	8.23e-09
seq_5	U2-L852	25	8.23e-09
seq_5	U2-L850	25	8.23e-09
seq_5	U2-L839	25	8.23e-09
seq_5	U2-L838	25	8.23e-09
seq_5	U2-L837	25	8.23e-09
seq_5	U2-L817	25	8.23e-09
seq_5	U2-L805	25	8.23e-09
seq_5	U2-L804	25	8.23e-09
seq_5	U2-L803	25	8.23e-09
seq_5	U2-L795	25	8.23e-09
seq_5	U2-L792	25	8.23e-09
seq_5	U2-L788	25	8.23e-09
seq_5	U2-L787	25	8.23e-09
seq_5	U2-L772	25	8.23e-09
seq_5	U2-L746	25	8.23e-09
seq_5	U2-L713	25	8.23e-09
seq_5	U2-L691	25	8.23e-09
seq_5	U2-L680	25	8.23e-09
seq_5	U2-L673	25	8.23e-09
seq_5	U2-L623	25	8.23e-09
seq_5	U2-L621	25	8.23e-09
seq_5	U2-L618	25	8.23e-09
seq_5	U2-L605	25	8.23e-09
seq_5	U2-L574	25	8.23e-09
seq_5	U2-L534	25	8.23e-09
seq_5	U2-L530	25	8.23e-09
seq_5	U2-L467	25	8.23e-09
seq_5	U2-L451	25	8.23e-09
seq_5	U2-L448	25	8.23e-09
seq_5	U2-L447	25	8.23e-09
seq_5	U2-L434	25	8.23e-09
seq_5	U2-L403	25	8.23e-09
seq_5	U2-L389	25	8.23e-09
seq_5	U2-L378	25	8.23e-09
seq_5	U2-L338	25	8.23e-09
seq_5	U2-L308	25	8.23e-09
seq_5	U2-L286	25	8.23e-09
seq_5	U2-L283	25	8.23e-09
seq_5	U2-L277	25	8.23e-09
seq_5	U2-L272	25	8.23e-09
seq_5	U2-L262	25	8.23e-09
seq_5	U2-L250	25	8.23e-09
seq_5	U2-L243	25	8.23e-09
seq_5	U2-L229	25	8.23e-09
seq_5	U2-L221	25	8.23e-09
seq_5	U2-L220	25	8.23e-09
seq_5	U2-L191	25	8.23e-09
seq_5	U2-L184	25	8.23e-09
seq_5	U2-L161	25	8.23e-09
seq_5	U2-L145	25	8.23e-09
seq_5	U2-L129	25	8.23e-09
seq_5	U2-L128	25	8.23e-09
seq_5	U2-L120	25	8.23e-09
seq_5	U2-L112	25	8.23e-09
seq_5	U2-L105	25	8.23e-09
seq_5	U2-L103	25	8.23e-09
seq_5	U2-L100	25	8.23e-09
seq_5	U2-L87	25	8.23e-09
seq_5	U2-L71	25	8.23e-09
seq_5	U2-L56	25	8.23e-09
seq_5	U2-L55	25	8.23e-09
seq_5	U2-L48	25	8.23e-09
seq_5	U2-L45	25	8.23e-09
seq_5	U2-L33	25	8.23e-09
seq_5	U2-L18	25	8.23e-09
seq_5	U2-L5	25	8.23e-09
seq_6	U2-L1036	25	8.23e-09
seq_6	U2-L996	25	8.23e-09
seq_6	U2-L968	25	8.23e-09
seq_6	U2-L946	25	8.23e-09
seq_6	U2-L930	25	8.23e-09
seq_6	U2-L929	25	8.23e-09
seq_6	U2-L918	25	8.23e-09
seq_6	U2-L900	25	8.23e-09
seq_6	U2-L842	25	8.23e-09
seq_6	U2-L829	25	8.23e-09
seq_6	U2-L778	25	8.23e-09
seq_6	U2-L757	25	8.23e-09
seq_6	U2-L754	25	8.23e-09
seq_6	U2-L724	25	8.23e-09
seq_6	U2-L701	25	8.23e-09
seq_6	U2-L670	25	8.23e-09
seq_6	U2-L619	25	8.23e-09
seq_6	U2-L609	25	8.23e-09
seq_6	U2-L600	25	8.23e-09
seq_6	U2-L551	25	8.23e-09
seq_6	U2-L518	25	8.23e-09
seq_6	U2-L458	25	8.23e-09
seq_6	U2-L457	25	8.23e-09
seq_6	U2-L433	25	8.23e-09
seq_6	U2-L334	25	8.23e-09
seq_6	U2-L268	25	8.23e-09
seq_6	U2-L228	25	8.23e-09
seq_6	U2-L213	25	8.23e-09
