qseqid	qlen	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
seq_1	25	U2-L1052	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L1045	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L1006	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L996	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L976	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L970	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L961	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L957	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L948	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L946	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L930	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L929	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L928	100	25	0	0	1	25	7	31	8.23e-09	50.1
seq_1	25	U2-L927	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L913	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L910	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L908	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L905	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L873	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L851	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L843	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L842	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L824	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L812	100	25	0	0	1	25	7	31	8.23e-09	50.1
seq_1	25	U2-L778	100	25	0	0	1	25	7	31	8.23e-09	50.1
seq_1	25	U2-L757	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L754	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L743	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L725	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L724	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L719	100	25	0	0	1	25	4	28	8.23e-09	50.1
seq_1	25	U2-L717	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L701	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L694	100	25	0	0	1	25	7	31	8.23e-09	50.1
seq_1	25	U2-L688	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L670	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L662	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L661	100	25	0	0	1	25	5	29	8.23e-09	50.1
seq_1	25	U2-L657	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L654	100	25	0	0	1	25	3	27	8.23e-09	50.1
seq_1	25	U2-L639	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L612	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L609	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L604	100	25	0	0	1	25	7	31	8.23e-09	50.1
seq_1	25	U2-L600	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L595	100	25	0	0	1	25	6	30	8.23e-09	50.1
seq_1	25	U2-L590	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L536	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L525	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L518	100	25	0	0	1	25	7	31	8.23e-09	50.1
seq_1	25	U2-L505	100	25	0	0	1	25	7	31	8.23e-09	50.1
seq_1	25	U2-L496	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L466	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L450	100	25	0	0	1	25	5	29	8.23e-09	50.1
seq_1	25	U2-L433	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L426	100	25	0	0	1	25	6	30	8.23e-09	50.1
seq_1	25	U2-L418	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L399	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L398	100	25	0	0	1	25	4	28	8.23e-09	50.1
seq_1	25	U2-L386	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L373	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L369	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L357	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L355	100	25	0	0	1	25	5	29	8.23e-09	50.1
seq_1	25	U2-L334	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L328	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L321	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L276	100	25	0	0	1	25	7	31	8.23e-09	50.1
seq_1	25	U2-L268	100	25	0	0	1	25	7	31	8.23e-09	50.1
seq_1	25	U2-L265	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L252	100	25	0	0	1	25	6	30	8.23e-09	50.1
seq_1	25	U2-L244	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L235	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L228	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L227	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L216	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L213	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L207	100	25	0	0	1	25	4	28	8.23e-09	50.1
seq_1	25	U2-L199	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L178	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L170	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L154	100	25	0	0	1	25	4	28	8.23e-09	50.1
seq_1	25	U2-L150	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L138	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L130	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L118	100	25	0	0	1	25	9	33	8.23e-09	50.1
seq_1	25	U2-L82	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L65	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L54	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L52	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L36	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L32	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L22	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L13	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_1	25	U2-L7	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_8	25	U1-L9	100	25	0	0	1	25	2	26	8.23e-09	50.1
seq_8	25	U1-L6	100	25	0	0	1	25	2	26	8.23e-09	50.1
seq_11	25	chr1.tRNA68-GlyGCC-tRF5	100	25	0	0	1	25	19	43	8.23e-09	50.1
seq_13	25	chr6.tRNA171-MetCAT-tRF3	100	25	0	0	1	25	2	26	8.23e-09	50.1
seq_18	25	U6-L28	100	25	0	0	1	25	16	40	8.23e-09	50.1
seq_21	25	chr15.tRNA9-HisGTG-tRF5	100	25	0	0	1	25	11	35	8.23e-09	50.1
seq_22	25	U2-L696	100	25	0	0	1	25	4	28	8.23e-09	50.1
seq_31	25	LSU-rRNA_Hsa-L386	100	25	0	0	1	25	15	39	8.23e-09	50.1
seq_31	25	LSU-rRNA_Hsa-L381	100	25	0	0	1	25	15	39	8.23e-09	50.1
seq_32	25	hsa-mir-4512	100	25	0	0	1	25	31	55	8.23e-09	50.1
seq_35	25	hsa-mir-4308	100	25	0	0	1	25	11	35	8.23e-09	50.1
seq_38	25	U6-L28	100	25	0	0	1	25	7	31	8.23e-09	50.1
seq_40	25	U6-L1581	100	25	0	0	1	25	13	37	8.23e-09	50.1
seq_43	25	U3-L3	100	25	0	0	1	25	8	32	8.23e-09	50.1
seq_45	25	U2-L300	100	25	0	0	1	25	9	33	8.23e-09	50.1
seq_46	25	U2-L368	100	25	0	0	1	25	38	62	8.23e-09	50.1
seq_47	25	U2-L479	100	25	0	0	1	25	111	135	8.23e-09	50.1
seq_49	25	hsa-mir-3064	100	25	0	0	1	25	35	59	8.23e-09	50.1
seq_51	25	chr14.tRNA16-TyrGTA-tRF5	100	25	0	0	1	25	13	37	8.23e-09	50.1
seq_52	25	U6-L889	100	25	0	0	1	25	35	59	8.23e-09	50.1
seq_55	25	U6-L1466	100	25	0	0	1	25	44	68	8.23e-09	50.1
seq_56	25	U3-L3	100	25	0	0	1	25	1	25	8.23e-09	50.1
seq_57	25	HY1-L230	100	25	0	0	1	25	11	35	8.23e-09	50.1
seq_59	25	chr14.tRNA16-TyrGTA-tRF5	100	25	0	0	1	25	23	47	8.23e-09	50.1
seq_65	25	U2-L548	100	25	0	0	1	25	1	25	8.23e-09	50.1
seq_67	25	U81	100	25	0	0	1	25	47	71	8.23e-09	50.1
seq_72	25	chr17.tRNA38-AspGTC-tRF3	100	25	0	0	1	25	9	33	8.23e-09	50.1
seq_77	25	HBII-85-24	100	25	0	0	1	25	50	74	8.23e-09	50.1
seq_77	25	HBII-85-22	100	25	0	0	1	25	50	74	8.23e-09	50.1
seq_77	25	HBII-85-21	100	25	0	0	1	25	50	74	8.23e-09	50.1
seq_77	25	HBII-85-19	100	25	0	0	1	25	50	74	8.23e-09	50.1
seq_77	25	HBII-85-18	100	25	0	0	1	25	50	74	8.23e-09	50.1
seq_77	25	HBII-85-17	100	25	0	0	1	25	50	74	8.23e-09	50.1
seq_77	25	HBII-85-16	100	25	0	0	1	25	50	74	8.23e-09	50.1
seq_77	25	HBII-85-15	100	25	0	0	1	25	50	74	8.23e-09	50.1
seq_77	25	HBII-85-14	100	25	0	0	1	25	50	74	8.23e-09	50.1
seq_81	25	U2-L300	100	25	0	0	1	25	1	25	8.23e-09	50.1
seq_84	25	chr1.tRNA43-GlyGCC-tRF3	100	25	0	0	1	25	2	26	8.23e-09	50.1
seq_84	25	chr1.tRNA41-GlyGCC-tRF3	100	25	0	0	1	25	2	26	8.23e-09	50.1
seq_84	25	chr1.tRNA39-GlyGCC-tRF3	100	25	0	0	1	25	2	26	8.23e-09	50.1
seq_84	25	chr1.tRNA37-GlyGCC-tRF3	100	25	0	0	1	25	2	26	8.23e-09	50.1
