SequenceID	Annotation	Length	BlastEvalue
seq_1	U2-L1052	25	8.23e-09
seq_1	U2-L1045	25	8.23e-09
seq_1	U2-L1006	25	8.23e-09
seq_1	U2-L996	25	8.23e-09
seq_1	U2-L976	25	8.23e-09
seq_1	U2-L970	25	8.23e-09
seq_1	U2-L961	25	8.23e-09
seq_1	U2-L957	25	8.23e-09
seq_1	U2-L948	25	8.23e-09
seq_1	U2-L946	25	8.23e-09
seq_1	U2-L930	25	8.23e-09
seq_1	U2-L929	25	8.23e-09
seq_1	U2-L928	25	8.23e-09
seq_1	U2-L927	25	8.23e-09
seq_1	U2-L913	25	8.23e-09
seq_1	U2-L910	25	8.23e-09
seq_1	U2-L908	25	8.23e-09
seq_1	U2-L905	25	8.23e-09
seq_1	U2-L873	25	8.23e-09
seq_1	U2-L851	25	8.23e-09
seq_1	U2-L843	25	8.23e-09
seq_1	U2-L842	25	8.23e-09
seq_1	U2-L824	25	8.23e-09
seq_1	U2-L812	25	8.23e-09
seq_1	U2-L778	25	8.23e-09
seq_1	U2-L757	25	8.23e-09
seq_1	U2-L754	25	8.23e-09
seq_1	U2-L743	25	8.23e-09
seq_1	U2-L725	25	8.23e-09
seq_1	U2-L724	25	8.23e-09
seq_1	U2-L719	25	8.23e-09
seq_1	U2-L717	25	8.23e-09
seq_1	U2-L701	25	8.23e-09
seq_1	U2-L694	25	8.23e-09
seq_1	U2-L688	25	8.23e-09
seq_1	U2-L670	25	8.23e-09
seq_1	U2-L662	25	8.23e-09
seq_1	U2-L661	25	8.23e-09
seq_1	U2-L657	25	8.23e-09
seq_1	U2-L654	25	8.23e-09
seq_1	U2-L639	25	8.23e-09
seq_1	U2-L612	25	8.23e-09
seq_1	U2-L609	25	8.23e-09
seq_1	U2-L604	25	8.23e-09
seq_1	U2-L600	25	8.23e-09
seq_1	U2-L595	25	8.23e-09
seq_1	U2-L590	25	8.23e-09
seq_1	U2-L536	25	8.23e-09
seq_1	U2-L525	25	8.23e-09
seq_1	U2-L518	25	8.23e-09
seq_1	U2-L505	25	8.23e-09
seq_1	U2-L496	25	8.23e-09
seq_1	U2-L466	25	8.23e-09
seq_1	U2-L450	25	8.23e-09
seq_1	U2-L433	25	8.23e-09
seq_1	U2-L426	25	8.23e-09
seq_1	U2-L418	25	8.23e-09
seq_1	U2-L399	25	8.23e-09
seq_1	U2-L398	25	8.23e-09
seq_1	U2-L386	25	8.23e-09
seq_1	U2-L373	25	8.23e-09
seq_1	U2-L369	25	8.23e-09
seq_1	U2-L357	25	8.23e-09
seq_1	U2-L355	25	8.23e-09
seq_1	U2-L334	25	8.23e-09
seq_1	U2-L328	25	8.23e-09
seq_1	U2-L321	25	8.23e-09
seq_1	U2-L276	25	8.23e-09
seq_1	U2-L268	25	8.23e-09
seq_1	U2-L265	25	8.23e-09
seq_1	U2-L252	25	8.23e-09
seq_1	U2-L244	25	8.23e-09
seq_1	U2-L235	25	8.23e-09
seq_1	U2-L228	25	8.23e-09
seq_1	U2-L227	25	8.23e-09
seq_1	U2-L216	25	8.23e-09
